age,age_o,d_age,d_d_age,samerace,importance_same_race,importance_same_religion,d_importance_same_race,d_importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,attractive,sincere,intelligence,funny,ambition,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,interests_correlate,d_interests_correlate,expected_happy_with_sd_people,expected_num_matches,d_expected_happy_with_sd_people,d_expected_num_interested_in_me,d_expected_num_matches,like,guess_prob_liked,d_like,d_guess_prob_liked,met,gender_female,gender_male,race_Asian/Pacific Islander/Asian-American,race_Black/African American,race_European/Caucasian-American,race_Latino/Hispanic American,race_Other,race_o_?,race_o_Asian/Pacific Islander/Asian-American,race_o_Black/African American,race_o_European/Caucasian-American,race_o_Latino/Hispanic American,race_o_Other,field_anthropology,field_architecture,field_art,field_biology,field_business,field_chemistry,field_communications,field_economics,field_education,field_engineering,field_environmental science,field_finance,field_health,field_history,field_law,field_literature,field_mathematics,field_medicine,field_other/job,field_philosophy,field_physics,field_political science,field_psychology,field_religion,field_sociology
21.0,26.0,5.0,2.0,1.0,8.0,7.0,2.0,2.0,20.0,25.0,20.0,10.0,5.0,20.0,1.0,2.0,1.0,0.0,0.0,1.0,7.0,8.0,7.0,6.0,8.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,50.0,5.0,20.0,10.0,5.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,10.0,8.0,5.0,4.83,3.22,0.0,2.0,1.0,0.0,0.0,0.0,10.0,10.0,9.0,7.0,5.0,6.0,6.0,6.0,8.0,5.0,7.0,7.0,7.0,9.0,9.0,6.0,6.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.37,1.0,8.0,4.0,2.0,0.0,1.0,3.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,26.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,12.0,20.0,20.0,20.0,16.0,12.0,0.0,1.0,1.0,1.0,1.0,0.0,8.0,9.0,9.0,8.0,8.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,14.0,18.0,16.0,18.0,18.0,16.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0,10.0,10.0,9.0,10.0,1.0,2.0,2.0,2.0,2.0,6.0,9.0,10.0,7.0,10.0,8.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,7.0,10.0,10.0,10.0,10.0,8.0,7.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.21,0.0,6.0,5.0,1.0,0.0,1.0,7.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,28.0,2.0,1.0,0.0,5.0,6.0,1.0,2.0,10.0,20.0,30.0,10.0,10.0,20.0,0.0,1.0,2.0,0.0,0.0,1.0,6.0,4.0,6.0,6.0,7.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,30.0,3.0,30.0,30.0,3.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,7.0,6.0,7.0,5.0,7.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,3.0,5.0,9.0,7.0,8.0,3.0,3.0,8.0,8.0,3.0,7.0,7.0,4.0,6.0,6.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.65,1.0,7.0,6.0,2.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,30.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,18.6,20.93,23.26,23.26,2.33,11.63,1.0,2.0,2.0,2.0,0.0,0.0,9.0,4.0,6.0,6.0,6.0,7.0,2.0,0.0,1.0,1.0,1.0,1.0,18.0,18.0,20.0,12.0,20.0,12.5,1.0,1.0,1.0,0.0,1.0,0.0,9.0,7.0,7.0,9.0,9.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,8.0,8.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,3.0,10.0,10.0,10.0,10.0,1.0,1.0,7.0,10.0,4.0,7.0,8.0,3.0,5.0,7.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.39,1.0,4.0,0.48,0.0,0.0,0.0,3.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,23.0,2.0,1.0,0.0,9.0,6.0,2.0,2.0,23.0,14.0,19.0,16.0,10.0,18.0,2.0,0.0,1.0,1.0,0.0,1.0,7.0,8.0,7.0,7.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,20.0,25.0,20.0,10.0,10.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0,9.0,7.0,8.0,7.0,0.0,2.0,1.0,1.0,1.0,7.0,9.0,8.0,9.0,7.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,7.0,9.0,8.0,8.0,6.0,3.0,8.0,7.0,7.0,8.0,8.0,5.0,5.0,7.0,5.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.0,6.0,3.0,1.0,0.0,1.0,8.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,29.0,7.0,3.0,1.0,7.0,1.0,2.0,0.0,30.0,15.0,15.0,20.0,10.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,7.0,6.0,6.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,10.0,30.0,20.0,10.0,15.0,15.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,10.0,9.0,10.0,10.0,1.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,10.0,10.0,3.0,1.0,4.0,10.0,5.0,10.0,10.0,10.0,10.0,9.0,7.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.31,0.0,1.0,3.0,0.0,0.0,1.0,7.0,7.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,21.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,15.0,20.0,15.0,30.0,5.0,15.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0,7.0,7.0,6.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0,20.0,20.0,20.0,20.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,8.0,9.0,8.0,8.0,1.0,1.0,2.0,1.0,1.0,3.0,7.0,8.0,6.0,7.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.11,0.0,3.0,1.0,0.0,0.0,0.0,7.0,7.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,26.0,2.0,1.0,1.0,8.0,6.0,2.0,2.0,17.39,17.39,15.22,17.39,13.04,19.57,1.0,1.0,1.0,1.0,0.0,1.0,6.0,10.0,10.0,6.0,7.0,5.0,1.0,2.0,2.0,1.0,1.0,0.0,13.0,19.0,17.0,17.0,15.0,19.15,0.0,1.0,1.0,1.0,0.0,1.0,6.0,8.0,7.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,8.0,6.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,7.0,6.0,7.0,10.0,8.0,10.0,4.0,3.0,6.0,4.0,8.0,7.0,10.0,9.0,7.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,-0.15,-1.0,5.0,1.65,1.0,0.0,0.0,7.0,7.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,27.0,3.0,1.0,0.0,8.0,4.0,2.0,1.0,14.0,18.0,17.0,16.0,15.0,20.0,0.0,1.0,1.0,1.0,0.0,1.0,6.0,7.0,8.0,6.0,9.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,20.0,30.0,10.0,10.0,10.0,20.0,1.0,2.0,0.0,0.0,0.0,1.0,8.0,10.0,8.0,8.0,8.0,1.0,2.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,7.0,6.0,9.0,7.0,8.0,9.0,9.0,1.0,7.0,6.0,7.0,7.0,10.0,10.0,7.0,8.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.26,0.0,7.0,3.0,2.0,0.0,1.0,7.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28.0,29.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0,10.0,20.0,20.0,20.0,15.0,0.0,0.0,1.0,1.0,1.0,0.0,8.0,10.0,8.0,8.0,8.0,8.0,1.0,2.0,1.0,1.0,1.0,1.0,17.0,17.0,17.0,17.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,9.0,9.0,8.0,2.0,2.0,2.0,2.0,2.0,1.0,9.0,9.0,8.0,8.0,8.0,7.0,5.0,4.0,6.0,7.0,5.0,7.0,8.0,7.0,6.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.24,0.0,5.0,5.0,1.0,0.0,1.0,10.0,8.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
